sampno,veh_id,veh_num,year,make,make_other,make_clean,model,model_other,model_clean,fuel_type,fuel_type_clean,vehicle_type,vehicle_type_clean,vehicle_status,how_acquired,acquired_year,acquired_month,annual_mileage,electric_miles,mpg,current_use,other_use,tnc_replacement,delivery_replacement,veh_home,personal_use,personal_miles,hv_replacement,fcev_fuel_cost
190072,190072.01,1,1997,GMC, ,GMC,REDACTED,REDACTED,REDACTED,1,1.0,9,9, ,3,2012, ,1200, ,14,5, ,2,2,2, , ,250, 
190117,190117.01,1,2012,FORD, ,FORD,,,,1,1.0,13,13, ,1,2012, ,10000, ,15,2, ,2,2,1,1,15,50, 
190133,190133.01,1,2018,DODGE, ,RAM,,,,1,1.0,11,11,3,1,2018,12,60000, ,19,5, ,2,2,1,1,20,100, 
190133,190133.02,2,2015,DODGE, ,DODGE,,,,1,1.0,13,13, ,4,2015, ,60000, ,19,5, ,2,2,1,1,20,450, 
190133,190133.03,3,2015,RAM, ,RAM,,,,4,3.0,13,13, ,4,2015, ,60000, ,19,5, ,2,2,1,1,20,450, 
190141,190141.02,2,2015,CHEVROLET, ,CHEVROLET,,,,4,3.0,13,13, ,1,2014, ,40000, ,18,2, ,2,2,1,1,35,500, 
190141,190141.01,1,2017,CHEVROLET, ,CHEVROLET,,,,1,1.0,13,13, ,1,2017, ,35000, ,20,3, ,2,2,1,1,20,400, 
190225,190225.03,3,2011,FORD, ,FORD,,,,4,3.0,13,13, ,1,2011, ,20000, ,14,2, ,2,2,1,2, ,100, 
190225,190225.01,1,2005,FORD, ,FORD,,,,1,1.0,13,13, ,1,2005, ,10000, ,13,5, ,2,2,2, , ,20, 
190225,190225.02,2,2016,CHEVROLET, ,CHEVROLET,,,,1,1.0,9,9, ,1,2016, ,18000, ,18,6,PERSONAL AND INSPECTIONS,2,2,2, , ,100, 
190238,190238.01,1,2019,CHEVROLET, ,CHEVROLET,,,,1,1.0,7,7, ,1,2019,4,10000, ,14,2, ,2,2,2, , ,500, 
190238,190238.02,2,2013,HONDA, ,HONDA,,,,1,1.0,8,8, ,3,2018,4,10000, ,18,1, ,2,2,2, , ,500, 
190312,190312.01,1,2016,CHEVROLET, ,CHEVROLET,,,,1,1.0,12,12, ,1,2016, ,40000, ,16,6,office duties,2,2,1,1,30,400, 
190312,190312.02,2,2017,CHEVROLET, ,CHEVROLET,,,,4,3.0,13,13,3,1,2016, ,80000, ,13,4, ,2,2,1,1,10,600, 
190319,190319.01,1,2014,FORD, ,FORD,,,,4,3.0,13,13, ,1,2014, ,40000, ,20,5, ,2,2,2, , ,360, 
190319,190319.02,2,2016,FORD, ,FORD,,,,4,3.0,13,13, ,1,2016, ,50000, ,23,5, ,2,2,2, , ,360, 
190392,190392.01,1,2005,CHEVROLET, ,CHEVROLET,,,,4,3.0,13,13, ,3,2012, ,12000, ,16,5, ,2,2,2, , ,150, 
