sampno,vehno,year,make,model,fuel,veh_type,pev_miles_week,pev_miles_month,phev_percent,battery_miles,recharge_amount,home_charge,home_charge_type_1,home_charge_type_2,home_charge_type_3,home_charge_type_4,home_charge_type_5,home_charge_type_6,home_charge_type_7,home_charge_type_8,home_charge_type_8_x,home_charge_type_no_1,home_charge_type_no_2,home_charge_type_no_3,home_charge_type_no_4,home_charge_type_no_5,home_charge_type_no_6,home_charge_type_no_7,home_charge_type_no_8,home_charge_type_no_8_x,charging_tech_1_1,charging_tech_2_1,charging_tech_3_1,charging_tech_4_1,charging_tech_5_1,charging_tech_6_1,charging_tech_7_1,charging_tech_8_1,charging_tech_1_2,charging_tech_2_2,charging_tech_3_2,charging_tech_4_2,charging_tech_5_2,charging_tech_6_2,charging_tech_7_2,charging_tech_8_2,charging_tech_1_3,charging_tech_2_3,charging_tech_3_3,charging_tech_4_3,charging_tech_5_3,charging_tech_6_3,charging_tech_7_3,charging_tech_8_3,primary_charge,electric_expense,electric_expense_7_x,upgrade_cost,weekday_charging_1,weekday_charging_2,weekday_charging_3,weekday_charging_4,weekend_charging_1,weekend_charging_2,weekend_charging_3,weekend_charging_4,variable_rates,variable_rates_usage,ev_rate,charge_cost,determine_cost,home_importance,park_work_school,recharge_stations_1,recharge_stations_2,recharge_stations_3,recharge_stations_4,recharge_stations_5,recharge_stations_6,charging_freq_1,charging_freq_2,charging_freq_3,charging_freq_4,charging_freq_5,charging_freq_6,work_school_importance_1,work_school_importance_2,public_availability,public_distance,public_distance_1_x,public_distance_2_x,public_use,public_type_1,public_type_2,public_type_3,public_type_4,public_type_4_x,public_wait,public_importance,pev_compare_cost,pev_cost_importance,pev_incentives_1,pev_incentives_2,pev_incentives_3,pev_incentives_4,pev_incentives_5,pev_incentives_6,pev_incentives_7,pev_experience,pev_recommend,pev_confidence,pev_confidence_4_x
190107,1,2017,FORD,REDACTED,3,3,250, ,30,20, ,1,1,0,0,0,0,0,0,0, , , , , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , , ,1, ,0,1,1,1,5,1,1,1,3,1,1,3,12, ,5,1, , , , , , , , , , , , , , ,3,1,2, ,1,0,1,0,0, ,4,2,4,3,5,5,4,4,1,1,4,5,5, , 
190111,3,2018,VOLKSWAGEN,,5,1,175, , ,120,5,1,1,0,0,1,0,0,0,0, , , , , , , , , , ,1, , ,1, , , , ,1, , ,1, , , , ,0, , ,0, , , , ,4,2, ,500,1,1,1,4,1,1,1,4,1,1,1,14,1,5,5,2,3,3,3,3,3, , , , , , , , ,2,1,6, ,2,0,1,0,0, ,3,3,1,4,5,5,5,5,1,1,4,5,4, , 
190120,2,2016,NISSAN,,5,2,160, , ,100,5,2, , , , , , , , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1,3,1,3,3,3,2, ,5, , , ,5,4,3,1,2, ,4,0,1,0,0, ,2,4,1,2,3,4,4,4,2,1,2,7,5, , 
190127,1,2013,TOYOTA,,3,3,200, ,85,10, ,1,1,0,0,1,0,0,0,0, , , , , , , , , , ,1, , ,1, , , , ,0, , ,0, , , , ,0, , ,0, , , , ,4,6, , ,1,1,1,5,1,1,1,5,1,1,3,11,1,5,6,3,3,3,3,3,3, , , , , , , , ,3,2, ,5,0, , , , , , ,1,2,3,6,7,7,7,2,7,5,7,4, , 
190138,3,2017,CHEVROLET,,5,2,200, , ,238,4,1,0,1,0,0,0,0,0,0, , , , , , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,6, , ,5,5,5,5,5,5,5,5,1,1,3, , ,4,3,2,3,3,3,3,3, , , , , , , , ,3,1,3, ,4,1,0,0,0, ,4,1,1,1,5,5,5,5,1,1,1,7,5,2, 
190140,1,2014,FORD,,5,2,50, , ,60,4,1,1,0,0,1,0,0,0,0, , , , , , , , , , ,1, , ,1, , , , ,0, , ,0, , , , ,0, , ,0, , , , ,1,6, , ,1,5,3,3,1,2,3,3,3, ,3, , ,3,4,3,3,3,3,3,3, , , , , , , , ,2,1,3, ,0, , , , , , ,3,1,3,4,5,5,3,3,6,4,7,5,2, 
190143,2,2017,FIAT,,5,1,100, , ,20,3,1,0,1,0,0,0,0,0,0, , , , , , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , ,6, , ,1,1,3,3,1,1,1,3,3, ,4,20,1,2,5,4,4,1,1,4,4, , ,5,2, , ,5,5,2,1,6, ,20,0,1,0,0, ,4,4,1,4,5,5,5,4,6,5,5,6,5,1, 
190145,1,2017,TESLA,,5,3,400, , ,250,3,1,1,0,0,0,0,0,0,0, , , , , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , , ,1, ,750,2,2,2,5,1,1,1,5,1,1,4, , ,5,1, , , , , , , , , , , , , , ,3,1,3, ,1,0,0,1,0, ,4,4,1,5,6,5,5,3,1,1,5,7,5, , 
190147,1,2015,TESLA,,5,3,250, , ,235,4,1,1,0,0,1,1,0,0,0, , , , , , , , , , ,0, , ,1,1, , , ,1, , ,0,0, , , ,0, , ,0,0, , , ,1,1, ,200,1,1,3,3,1,1,3,1,1,1,1,12,1,4,6,1,3,3,3,3,3, , , , , , , , ,1, , , , , , , , , , ,3,1,4,6,4,4,4,6,6,4,7,5, , 
190153,2,2019,CHEVROLET,,5,2, ,444, ,220,5,1,1,0,0,0,0,0,0,0, , , , , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , , ,3, , ,1,1,1,3,3,1,1,3,1,1,3,17,1,5,1, , , , , , , , , , , , , , ,3,1,5, ,0, , , , , , ,2,2,4,5,5,5,5,7,7,5,6,4, , 
190167,3,2017,NISSAN,,5,2,80, , ,110,2,1,1,0,1,1,0,1,0,0, , , , , , , , , , ,1, ,1,1, ,0, , ,1, ,0,0, ,0, , ,0, ,0,0, ,1, , ,1,6, , ,1,1,1,3,1,1,1,3,1,1,1, , ,5,5,3,3,3,1,3,3, , , , , , , , ,3,1,1, ,0, , , , , , ,1,1,5,5,5,5,5,5,1,1,7,5, , 
